n r res t
26 100 8 34101
27 100 7 29587
28 100 8 33168
29 100 8 37520
30 100 10 48226
1 1 0 632
2 1 0 885
3 1 0 1025
4 1 0 1329
5 1 0 1407
6 1 1 1756
7 1 0 1817
8 1 0 1735
9 1 0 1828
10 1 0 2001
11 1 1 2428
12 1 0 2291
13 1 0 2531
14 1 0 2609
15 1 0 2898
16 1 0 3017
17 1 0 3099
18 1 1 3403
19 1 1 3699
20 1 0 3589
21 1 0 3746
22 1 0 3890
23 1 0 4106
24 1 0 4261
25 1 0 4419
26 1 1 4764
27 1 0 4738
28 1 1 5696
29 1 0 5124
30 1 0 5189
1 10 1 662
2 10 0 951
3 10 1 1166
4 10 1 1555
5 10 1 1507
6 10 1 1601
7 10 0 1666
8 10 0 1753
9 10 1 2343
10 10 2 2414
11 10 2 3130
12 10 3 3187
13 10 1 3028
14 10 3 4222
15 10 2 3774
16 10 3 4681
17 10 2 5098
18 10 1 4063
19 10 4 7192
20 10 2 4000
21 10 2 4949
22 10 2 6039
23 10 2 5957
24 10 5 13514
25 10 1 6730
26 10 4 10325
27 10 4 11499
28 10 5 13508
29 10 4 13906
30 10 2 7317
1 20 1 711
2 20 1 766
3 20 2 920
4 20 1 987
5 20 2 1656
6 20 1 1466
7 20 3 1951
8 20 3 2582
9 20 4 3258
10 20 2 2812
11 20 4 3880
12 20 3 5286
13 20 3 3305
14 20 5 7591
15 20 4 6826
16 20 3 6582
17 20 3 7050
18 20 3 7051
19 20 2 6029
20 20 4 8268
21 20 3 6927
22 20 3 9089
23 20 5 13618
24 20 6 13533
25 20 4 13545
26 20 5 14229
27 20 6 17983
28 20 4 14787
29 20 7 17192
30 20 5 15723
1 50 1 746
2 50 2 1099
3 50 1 1382
4 50 3 1841
5 50 2 1911
6 50 3 2329
7 50 2 2768
8 50 4 4434
9 50 4 5217
10 50 6 8146
11 50 4 7650
12 50 6 9496
13 50 3 8428
14 50 5 9369
15 50 4 10600
16 50 6 15132
17 50 5 15814
18 50 5 16333
19 50 8 18812
20 50 4 15154
21 50 6 20165
22 50 5 21068
23 50 6 24895
24 50 7 24989
25 50 6 22642
26 50 5 24374
27 50 8 33932
28 50 6 28912
29 50 6 32273
30 50 10 40207
1 75 1 676
