n r res t
9 75 4 6485
10 75 5 6067
11 75 3 6232
12 75 6 9431
13 75 4 8223
14 75 6 8877
15 75 6 11710
16 75 7 13664
17 75 5 13568
18 75 7 15090
19 75 6 17560
20 75 5 16862
21 75 9 24539
22 75 5 18337
23 75 6 28167
24 75 8 28754
25 75 7 26854
26 75 7 29030
27 75 9 40784
28 75 7 33930
29 75 8 39428
30 75 7 45790
1 100 1 762
2 100 2 801
3 100 2 1140
4 100 2 1436
5 100 2 1642
6 100 4 3187
7 100 5 3639
8 100 4 4360
9 100 3 4391
10 100 4 5998
11 100 5 11297
12 100 4 10297
13 100 5 9645
14 100 5 9678
15 100 6 13415
16 100 6 12701
17 100 4 11916
18 100 5 25821
19 100 7 23530
20 100 5 23488
21 100 7 19890
22 100 9 29551
23 100 9 33327
24 100 5 20865
25 100 7 26417
26 100 6 26890
27 100 7 37141
28 100 7 40230
29 100 7 33924
30 100 9 41010
1 1000 1 2587
2 1000 2 2611
3 1000 3 2968
4 1000 3 3173
5 1000 4 4006
6 1000 4 5179
7 1000 4 5108
8 1000 4 5954
9 1000 5 6860
10 1000 3 8146
11 1000 5 9462
12 1000 4 9815
13 1000 5 11306
14 1000 6 11887
15 1000 7 20483
16 1000 5 13657
17 1000 5 16109
18 1000 7 20335
19 1000 6 18117
20 1000 7 25905
21 1000 5 34942
22 1000 6 31250
23 1000 5 31349
24 1000 7 32623
25 1000 8 35892
26 1000 5 27633
27 1000 7 35986
28 1000 5 30383
29 1000 10 41747
30 1000 6 42778
1 10 1 580
2 10 2 671
3 10 0 771
4 10 2 1146
5 10 1 1425
6 10 1 1311
7 10 2 2201
8 10 2 2460
9 10 1 2100
10 10 2 2681
11 10 3 3300
12 10 2 3150
13 10 2 4360
14 10 3 4414
15 10 3 5915
16 10 3 5558
17 10 2 4216
18 10 4 5751
19 10 3 5480
20 10 3 6870
21 10 4 5964
22 10 3 8023
23 10 1 5487
24 10 4 8685
25 10 3 8835
26 10 1 5977
27 10 3 9508
28 10 4 12050
29 10 4 10518
30 10 3 9266
1 20 0 554
2 20 1 982
3 20 2 1051
4 20 2 1095
5 20 2 1435
6 20 3 2067
7 20 1 1685
8 20 2 2483
9 20 4 4802
10 20 2 4890
11 20 3 4274
12 20 5 6360
13 20 4 6811
14 20 5 6599
15 20 4 6241
16 20 3 5819
17 20 7 10456
18 20 3 8384
19 20 3 7176
20 20 4 9812
21 20 3 9547
22 20 5 12660
23 20 2 10206
24 20 5 14896
25 20 4 12016
26 20 5 15262
27 20 4 13466
28 20 4 14433
29 20 5 14154
30 20 4 12853
1 50 1 662
2 50 2 1169
3 50 2 1523
4 50 3 2133
5 50 3 2663
6 50 4 2893
7 50 5 3569
8 50 3 3832
9 50 3 5869
10 50 2 6085
11 50 5 7412
12 50 5 10693
13 50 4 7883
14 50 5 12391
15 50 6 13680
16 50 6 14400
17 50 5 13424
18 50 5 20410
19 50 5 17003
20 50 4 17538
21 50 4 21057
22 50 6 25386
23 50 6 21181
24 50 6 28420
25 50 6 30294
26 50 9 30010
27 50 9 34338
28 50 6 30423
29 50 5 27068
30 50 7 34831
1 75 1 700
2 75 2 1194
3 75 2 1332
4 75 2 1950
5 75 3 2876
6 75 4 3257
7 75 4 4516
8 75 6 5033
9 75 4 12470
10 75 4 5900
11 75 3 7319
12 75 4 8199
13 75 6 20314
14 75 5 11580
15 75 5 15104
16 75 7 20473
17 75 7 15860
18 75 6 15465
19 75 6 26658
20 75 5 19871
21 75 6 19771
22 75 6 31885
23 75 5 28316
24 75 6 25018
25 75 9 36147
26 75 7 37835
27 75 8 33517
28 75 8 31558
29 75 7 30934
30 75 7 38390
1 100 1 729
2 100 2 1166
3 100 1 1089
4 100 2 1748
5 100 3 1733
6 100 3 2636
7 100 3 3015
8 100 6 4937
9 100 5 5372
10 100 4 5590
11 100 5 7123
12 100 6 11398
13 100 6 11471
14 100 5 11793
15 100 5 14848
16 100 6 17447
17 100 6 18222
18 100 5 21112
19 100 7 21627
20 100 7 21205
21 100 7 21265
22 100 5 22020
23 100 8 30216
24 100 6 21965
25 100 10 37745
26 100 8 34062
27 100 6 32695
28 100 6 30881
29 100 9 37898
30 100 5 27827
1 1000 1 2176
2 1000 2 2377
3 1000 2 2957
4 1000 3 3244
5 1000 4 13200
6 1000 3 4516
7 1000 3 5286
8 1000 4 6021
9 1000 4 6816
10 1000 5 9996
11 1000 3 7435
12 1000 5 11707
13 1000 6 15795
14 1000 5 12192
15 1000 6 16143
16 1000 5 16302
17 1000 6 14212
18 1000 6 16795
19 1000 5 18843
20 1000 6 21417
21 1000 5 20754
22 1000 7 21634
23 1000 7 25945
24 1000 6 29845
25 1000 7 30694
26 1000 8 35962
27 1000 5 29081
28 1000 8 34101
29 1000 7 37356
30 1000 6 39641
1 10 0 754
2 10 1 855
3 10 1 813
4 10 1 1352
5 10 1 1225
6 10 2 2012
7 10 2 2531
8 10 2 2018
9 10 1 2269
10 10 3 3179
11 10 2 2389
12 10 2 3015
13 10 2 3293
14 10 1 3063
15 10 3 3949
16 10 2 4457
17 10 2 5190
18 10 1 3727
19 10 3 6136
20 10 2 5155
21 10 4 10429
22 10 4 7001
23 10 2 7808
24 10 3 8666
25 10 3 7697
26 10 2 7864
27 10 3 8418
28 10 4 9782
29 10 2 7316
30 10 4 10202
1 20 1 595
2 20 0 895
3 20 1 1345
4 20 2 1618
5 20 2 1826
6 20 2 2814
7 20 1 2251
8 20 3 3208
9 20 3 3223
10 20 3 4199
11 20 4 5309
12 20 4 5909
13 20 2 4856
14 20 2 5848
15 20 4 6598
16 20 2 5159
17 20 4 6862
18 20 3 9288
19 20 5 10908
20 20 5 11983
21 20 5 11531
22 20 4 11874
23 20 3 9414
24 20 7 14513
25 20 5 13044
26 20 3 12980
27 20 4 13315
28 20 4 14930
29 20 7 19119
30 20 4 11604
1 50 1 635
2 50 2 971
3 50 2 1463
4 50 3 1988
5 50 2 2283
6 50 3 2780
7 50 3 4227
8 50 3 4846
9 50 3 4767
10 50 4 6047
11 50 4 5112
12 50 5 11151
13 50 5 11382
14 50 5 11587
15 50 5 14480
16 50 6 17508
17 50 6 15305
18 50 6 18623
19 50 6 19419
20 50 5 17167
21 50 6 20739
22 50 6 17551
23 50 6 19735
24 50 6 25427
25 50 7 19212
26 50 7 28952
27 50 6 33154
28 50 7 31082
29 50 7 39675
30 50 7 34951
1 75 1 762
