n r res t
28 50 7 265058
29 50 7 269518
30 50 7 189507
1 75 1 105
2 75 2 129
3 75 3 319
4 75 3 239
5 75 4 308
6 75 3 1259
7 75 5 756
8 75 4 2902
9 75 3 2698
10 75 5 4099
11 75 4 3832
12 75 6 4234
13 75 4 8931
14 75 6 8129
15 75 5 13570
16 75 7 16074
17 75 6 52027
18 75 6 33754
19 75 5 31518
20 75 7 150235
21 75 5 50338
22 75 7 45255
23 75 6 99377
24 75 7 370214
25 75 8 86020
26 75 8 368450
27 75 5 113217
28 75 6 435804
29 75 8 463707
30 75 7 259136
1 100 1 81
2 100 2 133
3 100 1 195
4 100 3 252
5 100 3 436
6 100 5 362
7 100 5 1076
8 100 4 1850
9 100 5 3893
10 100 7 1945
11 100 5 9655
12 100 5 9619
13 100 6 10179
14 100 4 5088
15 100 6 22284
16 100 5 15249
17 100 6 21574
18 100 7 28689
19 100 6 61851
20 100 8 122045
21 100 7 65477
22 100 9 170698
23 100 7 181586
24 100 7 212343
25 100 6 80547
26 100 6 65477
27 100 8 239876
28 100 7 661477
29 100 7 353937
30 100 8 266070
1 1000 1 120
2 1000 2 276
3 1000 1 339
4 1000 2 607
5 1000 2 898
6 1000 4 833
7 1000 5 665
8 1000 3 2478
9 1000 4 1429
10 1000 4 3019
11 1000 5 4264
12 1000 4 4650
13 1000 4 6502
14 1000 6 17849
15 1000 6 12258
16 1000 5 12942
17 1000 6 18777
18 1000 6 81351
19 1000 5 29330
20 1000 8 56038
21 1000 8 150628
22 1000 7 98467
23 1000 5 82885
24 1000 7 80620
25 1000 6 44346
26 1000 8 176870
27 1000 7 315004
28 1000 8 275257
29 1000 8 440105
30 1000 10 2497287
1 10 0 110
2 10 0 117
3 10 0 185
4 10 0 233
5 10 2 349
6 10 2 320
7 10 1 384
8 10 0 275
9 10 1 649
10 10 1 419
11 10 2 1334
12 10 1 890
13 10 2 880
14 10 3 1789
15 10 2 2230
16 10 3 3274
17 10 2 2408
18 10 3 1776
19 10 4 3810
20 10 2 1494
21 10 1 1648
22 10 1 1875
23 10 2 2207
24 10 3 3888
25 10 3 3278
26 10 2 2761
27 10 4 16760
28 10 4 8207
29 10 2 6828
30 10 3 10028
1 20 1 105
2 20 1 162
3 20 1 199
4 20 2 341
5 20 1 292
6 20 1 764
7 20 1 457
8 20 1 307
9 20 2 1482
10 20 3 1435
11 20 3 3128
12 20 4 1225
13 20 2 1990
14 20 4 4782
15 20 3 3482
16 20 4 4356
17 20 4 9366
18 20 2 3245
19 20 5 10631
20 20 4 3443
21 20 3 5128
22 20 4 6639
23 20 3 13130
24 20 6 32500
25 20 3 4848
26 20 5 23267
27 20 6 22521
28 20 7 26100
29 20 6 45316
30 20 3 16488
1 50 1 78
2 50 1 156
3 50 3 244
4 50 2 251
5 50 3 415
6 50 2 697
7 50 4 861
8 50 4 1481
9 50 6 1763
10 50 4 2196
11 50 5 4101
12 50 6 5295
13 50 4 3175
14 50 7 10879
15 50 5 22121
16 50 5 17632
17 50 3 12642
18 50 5 36327
19 50 4 17412
20 50 6 68852
21 50 5 31089
22 50 5 51214
23 50 6 79864
24 50 8 136865
25 50 6 171451
26 50 8 138965
27 50 8 422275
28 50 8 211490
29 50 10 356889
30 50 7 299177
1 75 1 87
2 75 2 152
3 75 1 193
4 75 3 199
5 75 2 465
6 75 3 622
7 75 2 980
8 75 4 1430
9 75 5 3523
10 75 6 2317
11 75 4 5115
12 75 6 5770
13 75 3 7839
14 75 5 8094
15 75 4 14421
16 75 6 34032
17 75 5 28846
18 75 5 36988
19 75 8 37925
20 75 5 25416
21 75 6 33265
22 75 5 98983
23 75 6 116030
24 75 7 147203
25 75 6 101036
26 75 5 191025
27 75 8 204895
28 75 7 168541
29 75 7 347454
30 75 11 968249
1 100 1 178
2 100 2 224
3 100 2 293
4 100 3 272
5 100 2 609
