n r res t
13 50 4 8988
14 50 5 11626
15 50 6 16011
16 50 7 34197
17 50 5 19680
18 50 6 52518
19 50 6 44162
20 50 5 48941
21 50 9 227154
22 50 5 55153
23 50 6 126783
24 50 7 207138
25 50 7 159674
26 50 7 236683
27 50 9 357112
28 50 7 337190
29 50 7 379259
30 50 7 580995
1 75 1 80
2 75 2 124
3 75 2 146
4 75 2 280
5 75 2 523
6 75 4 581
7 75 5 863
8 75 4 1518
9 75 3 1849
10 75 4 4467
11 75 5 3955
12 75 4 8761
13 75 5 13057
14 75 5 8669
15 75 6 30281
16 75 6 15660
17 75 4 20941
18 75 5 32622
19 75 7 68945
20 75 5 52404
21 75 7 49180
22 75 9 162440
23 75 9 248982
24 75 5 58341
25 75 7 83390
26 75 6 104257
27 75 7 600450
28 75 7 502729
29 75 7 375038
30 75 9 657434
1 100 1 84
2 100 2 97
3 100 3 118
4 100 3 219
5 100 4 590
6 100 4 545
7 100 4 1300
8 100 4 1415
9 100 5 1394
10 100 3 3731
11 100 5 6228
12 100 4 4980
13 100 5 7921
14 100 6 10974
15 100 7 23587
16 100 5 17255
17 100 5 15203
18 100 7 51898
19 100 6 26250
20 100 7 98344
21 100 5 65473
22 100 6 130594
23 100 5 136098
24 100 7 138247
25 100 8 224816
26 100 5 51416
27 100 7 213143
28 100 5 140103
29 100 10 450934
30 100 6 607360
1 1 0 125
2 1 0 105
3 1 0 109
4 1 0 142
5 1 0 141
6 1 1 254
7 1 1 338
8 1 1 293
9 1 0 252
10 1 0 252
11 1 0 284
12 1 0 322
13 1 1 644
14 1 1 553
15 1 1 657
16 1 1 829
17 1 0 860
18 1 1 824
19 1 1 562
20 1 0 508
21 1 1 995
22 1 0 566
23 1 0 597
24 1 0 648
25 1 1 969
26 1 0 669
27 1 1 1702
28 1 1 2089
29 1 1 732
30 1 0 1381
1 10 0 81
2 10 1 107
3 10 1 188
4 10 1 200
5 10 1 433
6 10 2 418
7 10 0 219
8 10 1 349
9 10 3 1899
10 10 1 1004
11 10 2 880
12 10 4 2359
13 10 3 4660
14 10 3 1754
15 10 3 1891
16 10 1 2356
17 10 5 8500
18 10 3 4258
19 10 2 2187
20 10 2 3782
21 10 2 2999
22 10 3 6748
23 10 1 2844
24 10 3 7867
25 10 2 3095
26 10 4 9354
27 10 2 6319
28 10 3 4729
29 10 3 6631
30 10 3 4326
1 20 0 85
2 20 1 100
3 20 1 198
4 20 2 253
5 20 3 704
6 20 3 545
7 20 3 1198
8 20 3 1529
9 20 1 900
10 20 1 628
11 20 3 3161
12 20 3 3252
13 20 3 1378
14 20 3 4069
15 20 4 4635
16 20 4 5068
17 20 3 3135
18 20 3 7742
19 20 3 3633
20 20 3 4512
21 20 2 5003
22 20 4 12755
23 20 6 20931
24 20 4 15380
25 20 3 9537
26 20 8 56510
27 20 5 100563
28 20 3 13541
29 20 3 15998
30 20 5 50136
1 50 1 75
2 50 1 103
3 50 2 269
4 50 2 377
5 50 3 869
6 50 4 1167
7 50 4 1700
8 50 6 1230
9 50 4 1979
10 50 4 2453
11 50 3 3361
12 50 4 5514
13 50 5 17240
14 50 4 11109
15 50 5 10884
16 50 7 20862
17 50 7 24660
18 50 6 23825
19 50 6 58919
20 50 5 53603
21 50 6 35293
22 50 6 54164
23 50 5 45048
24 50 5 56126
25 50 8 454535
26 50 7 284548
27 50 8 221441
28 50 7 139007
29 50 7 268561
30 50 7 487009
1 75 1 124
2 75 2 139
3 75 1 292
4 75 2 391
5 75 3 537
6 75 3 710
7 75 3 1506
8 75 6 1236
9 75 5 2181
10 75 4 1912
11 75 5 5590
12 75 6 5828
13 75 6 17868
14 75 5 9552
15 75 5 16239
16 75 6 24362
17 75 6 48083
18 75 5 33584
19 75 7 53532
20 75 7 61327
21 75 7 88135
22 75 5 94106
23 75 8 230393
24 75 6 73647
25 75 10 404339
26 75 8 232410
27 75 6 148309
28 75 6 120477
29 75 9 570475
30 75 5 80438
1 100 1 64
2 100 2 131
3 100 2 334
4 100 3 282
5 100 4 314
6 100 3 1108
7 100 3 1714
8 100 4 2285
9 100 4 1946
10 100 5 4059
11 100 3 3605
12 100 5 6610
13 100 6 10274
14 100 5 6766
15 100 6 21511
16 100 5 15808
17 100 6 17342
18 100 6 64045
19 100 5 33562
20 100 6 43038
21 100 5 43969
22 100 7 49268
23 100 7 105950
24 100 6 78138
25 100 7 151016
26 100 8 295110
27 100 5 101612
28 100 8 208695
29 100 7 382870
30 100 6 301549
1 1 0 64
2 1 1 152
3 1 0 169
4 1 0 156
5 1 0 207
6 1 1 239
7 1 0 367
8 1 0 376
